"gene","num_of_experi","mean_rls","mean_rls_rela","std_mean_rls","std_mean_rls_rela","cv_mean_rls_rela"
"MSH6",1,30.65,1.18568665377176,NA,NA,NA
"NTH1",3,29.8,1.13985596506091,1.71973835219198,0.0493303941432133,0.043277743552956
"YSC84",1,28.65,1.07706766917293,NA,NA,NA
"LSB3",1,36.2,1.448,NA,NA,NA
"ARK1",3,22.675,0.843195789418142,2.7098201047302,0.13066852163396,0.154968185650132
"CUP9",2,31.65,1.26409062338721,5.58614357137373,0.165594075599305,0.130998579164827
"YVH1",1,39.43333,1.96411252323564,NA,NA,NA
"SKM1",2,27.55,1.09300995175439,0.212132034355965,0.135354693700989,0.12383665261577
"TOS3",2,29.8,1.19958303578993,1.34350288425444,0.121174657307824,0.101013980435318
"NOP12",3,30,1.13645101946391,10.94086376846,0.452812222613503,0.398444116691543
"MSS116",5,29.96,1.24112669723278,5.43638206898669,0.37807702986551,0.304624040968963
"SPS1",2,32.175,1.26009383214133,1.23743686707646,0.11794838493568,0.0936028587135019
"RPH1",1,39.75,1.53623188405797,NA,NA,NA
"GGC1",4,22.79375,0.971406332581324,1.98624174007093,0.229722104940776,0.2364840512521
"SIT4",4,25.9375,0.955774519130289,3.40988147399095,0.212941599995335,0.222794807491941
"SOV1",1,34.45,1.33140096618358,NA,NA,NA
"SRY1",4,25.7375,1.07385129444086,1.09573035004056,0.130349174529665,0.121384753368051
"ARG4",4,19.5147425,0.775432238248602,1.29537897873878,0.0894153515176858,0.115310335458376
"PET123",2,31.3,1.24548155667756,2.08596500450031,0.0865494653529372,0.0694907643464557
"MRPL24",3,31.3583333333333,1.23092173195415,2.15179188894589,0.10703842808441,0.0869579481016074
"SMF2",4,22.9,1.02445249627343,2.60608262851865,0.318860092158905,0.311249270531136
"YMR291W",2,28.5,1.16926315789474,0.989949493661165,0.00178637502615551,0.00152777842532205
"MPD1",1,34.9,1.81770833333333,NA,NA,NA
"RAD53",5,4.82,0.171269684807608,1.00349389634417,0.0415216659462167,0.242434415599346
"GCN5",3,26.95,1.06353554564671,3.65615918690639,0.173476618784566,0.163113136645638
"CPR3",3,24.125,0.948797767465275,2.40325300374305,0.254148698449146,0.267863929663439
"RTG3",5,27.85,1.09433791984026,2.80429358306152,0.134789454016572,0.123169865151202
"MNN2",1,30.4,1.15370018975332,NA,NA,NA
"EMP24",2,31.925,1.24017899624443,2.65165042944955,0.141084121370637,0.113761095614323
"ITC1",3,23.325,0.942169480666026,2.03853501318962,0.0833310128642625,0.0884458842854421
"COX6",1,15.2,0.686230248306998,NA,NA,NA
"ARG1",5,28.76,1.07967805597336,6.11600359712124,0.165266191635246,0.153069881082518
"EMP47",3,28.5916666666667,1.18193082693851,3.36640881850873,0.159980503466603,0.135355216921612
"UMP1",2,32.4875,1.13778506314546,1.67937860531805,0.188047487838461,0.165275054076201
"UTH1",4,24.175,0.92964002042656,6.74221773602722,0.234414199396255,0.2521558821109
"RPL2B",5,32.71,1.26736305493696,2.96888026030017,0.187933066573537,0.148286685367268
"RPL20A",4,29.45625,1.15455347854007,12.1647094601556,0.559223747394891,0.484363659015628
"RPL6A",5,31.01,1.25433020025645,9.46192369447144,0.393798856660574,0.313951507011519
"RPL34B",5,35.148234,1.38815994261669,6.20890235365962,0.344410958108879,0.24810610617366
"AAD3",7,27.62881,1.07396418234421,2.38197273900577,0.119694184216492,0.111450815757401
"ATG8",2,32.55,1.22728061878911,4.56083873865323,0.335744483554826,0.273567820117689
"DIE2",1,27.75,1.04914933837429,NA,NA,NA
"PAF1",5,19.0776932,0.679742366856937,10.856359193114,0.398908772841584,0.586852890582794
"YIL055C",3,29.2777766666667,1.16934780572877,2.3633994858325,0.0778154987288199,0.0665460681138602
"SMF1",4,23.5125,1.08140106225873,3.31797503506782,0.166695155893645,0.154147394256731
"FPK1",2,30.6625,1.32731551415464,0.0176776695296652,0.129635254201671,0.0976672485322641
"YPK2",4,28.7,1.15150144966316,3.13475145213567,0.178765563761801,0.155245626320397
"MDJ1",5,18.78,0.660117272964941,9.13151137545149,0.3130484191595,0.4742315221558
"TAT1",3,24.2416666666667,0.917854110874481,4.20834983495115,0.118538352049849,0.12914726931594
"RPL7A",3,33.1918233333333,1.24007889227016,2.87238131939917,0.15719779616624,0.126764351160323
"RPS17A",4,23.275,0.85430753727475,3.38833784226622,0.204793766192587,0.239719020677122
"RPS21A",2,28.00357,1.07431977540033,3.75271468270637,0.188241424305232,0.175219174602913
"TAF14",3,29.75,1.16834761785349,0.776208734813002,0.0163768282561324,0.0140170853313504
"RVS161",2,29.725,1.13164964001131,1.09601551083915,0.0211663948646591,0.0187040176714478
"RPL23A",3,35.3283333333333,1.2685252603365,0.750938301948521,0.251140001678075,0.197977927228232
"CTH1",2,28.325,1.05703745447335,0.813172798364529,0.0532268997286516,0.0503547906494674
"SDP1",1,29.55,1.22360248447205,NA,NA,NA
"DAS2",1,26.55,1.09937888198758,NA,NA,NA
"HRB1",1,26.4,1.09316770186335,NA,NA,NA
"YMR018W",1,33.95,1.358,NA,NA,NA
"INM1",2,22.2125,0.927737959778007,0.0530330085889906,0.0241269666224448,0.0260062298498791
"LYS4",2,31.5125,1.06548528043953,4.86135912065752,0.0811847479799287,0.0761950910729039
"ABP1",1,29.65,1.11466165413534,NA,NA,NA
"YOR111W",2,27.95,1.10703564487208,0.353553390593274,0.0202705950900106,0.0183106977484478
"RPS6A",1,32.7,1.45333333333333,NA,NA,NA
"BSC1",2,34.425,1.18722530571725,5.5507882323144,0.0635027262270415,0.0534883529867795
"YMR173WA",3,31.4833333333333,1.11256949022671,0.775134396948899,0.0812100598843163,0.0729932472512511
"RRP8",2,25.4,0.899199313697455,1.76776695296637,0.129410448944636,0.143917424060865
"PAC2",4,28.425,0.971892319332888,5.15792270848126,0.126046450854032,0.129691786164697
"SYH1",2,29.9,1.14013700220597,5.23259018078045,0.0637077513294741,0.0558772772098534
"STE20",2,18.16346,0.751381411027966,1.29182752068533,0.038748924597745,0.0515702465206486
"SPS19",2,31.175,1.05818390257619,1.73241161390704,0.0243528242306077,0.0230137919990275
"RGM1",1,35.2,1.07235338918507,NA,NA,NA
"TMT1",3,24.93141,1.0550523914937,3.62982823482049,0.175411807589677,0.166258859753245
"ASN1",3,28.5666666666667,1.26140018895319,2.42813371405558,0.199594140685299,0.158232210866354
"TCO89",1,32.7,1.24571428571429,NA,NA,NA
"CBS1",2,32.025,1.19170540515906,2.72236110756821,0.0401924882643271,0.0337268657927776
"PET111",3,25.55,0.925958631240187,2.49649754656398,0.0900205673301656,0.0972187787802098
"ARG81",2,30.2,1.05604645831741,0.565685424949239,0.0276121226757525,0.0261466931291513
"HIS4",3,29.0333333333333,1.20593237795695,1.81268677198609,0.153301459349835,0.127122765879753
"CAD1",7,26.5214285714286,1.02637887137385,5.4660205773836,0.193155269007151,0.188191002751844
"RSM7",2,33.9625,1.35253257424871,1.85615530061469,0.110190563614498,0.0814698039163347
"MRPL51",2,25.2875,1.00970474655458,0.406586399182264,0.12103618242574,0.119872846828493
"RPL29",2,32.9725,1.27741883127796,3.75120147419463,0.10546296623556,0.0825594265978154
"LPD1",2,28.525,1.11101017151867,1.44956890143242,0.241603157957353,0.217462597689001
"ZWF1",2,25.475,0.887897472381969,2.5809397513309,0.0794990312082818,0.0895362738166257
"CRF1",3,26.6927933333333,1.02854548740728,6.75632901864121,0.250794219659167,0.243833863188063
"MHP1",2,29.1125,1.29559930730525,3.05823682863182,0.126971986246196,0.0980025116795472
"ADH3",5,24.52,0.929283513288941,1.70205757834452,0.123692540780051,0.133105278433571
"MTR10",5,25.075,1.01962415834098,2.06397674405503,0.147493439575557,0.144654712590903
"YDR115W",2,28.0125,1.04960840319032,0.265165042944955,0.0262050839845388,0.0249665340948944
"ENO1",2,28.1625,1.18797692101704,5.00278047689482,0.109590436580415,0.0922496343502984
"MSK1",1,25.975,0.997120921305182,NA,NA,NA
"DLS1",2,33.9375,1.3850411700435,1.85615530061469,0.120548091884668,0.0870357462954563
"YGL079W",1,31,1.25607779578606,NA,NA,NA
"DOM34",1,37.35,1.41477272727273,NA,NA,NA
"RTS1",4,34.075,1.28304159465567,1.27295587773759,0.111905180753506,0.0872186694645224
"UBP10",1,19.475,0.790060851926978,NA,NA,NA
"SSM4",6,23.4041666666667,0.938872119743151,2.9572967667562,0.192002244476691,0.204503084540648
"HST4",4,22.10625,0.854067861969857,2.97022551051824,0.0883152678230558,0.103405445580591
"SRB8",2,30.025,1.14399447433474,4.27799602617861,0.14924610918893,0.130460515795516
"GSY1",2,33.275,1.26912534535408,0.883883476483184,0.0491026382660515,0.0386901407696275
"ITR1",2,30.05,1.20297127115309,0.282842712474618,0.150688044869152,0.125263211585022
"TPO3",2,26.675,1.20775039208966,4.49012806053458,0.0545832175009964,0.0451941211184839
"MEP2",2,31.175,1.42643255538591,0.0353553390593279,0.17791690580754,0.124728579094583
"SNQ2",2,30.8375,1.41194081783151,0.371231060122939,0.191375429229307,0.135540687550365
"YGR026W",2,30.65,1.35079094132363,2.12132034355964,0.351731241809356,0.260389103190682
"MUP3",2,21.4875,0.910812108825039,1.997576656852,0.214724150320138,0.235750214824368
"MSB2",2,28.2,1.17413323277065,0.565685424949239,0.216392973443592,0.184300186217335
"PGM2",2,32.4,1.33710869505006,2.82842712474619,0.104035431048767,0.0778062631960315
"TPO1",2,32.425,1.29348681621409,1.66170093578839,0.0839010997747909,0.0648642867658763
"VPS24",2,30.725,1.19881111640176,0.954594154601838,0.147210365793585,0.122796964241905
"VPS60",2,32,1.24766455796658,0.494974746830585,0.133868173809425,0.107295004057502
"DID2",2,32.9875,1.27503042121095,5.70988725808137,0.104348607446714,0.0818400923701961
"CLN3",4,23.13125,0.906737136590246,3.78909482374529,0.10376284962053,0.114435425034787
"GPM2",2,28.95,1.16693903435492,1.8031222920257,0.0560704451537853,0.0480491640977466
"RPL40A",4,35.43125,1.40134450263211,2.08300414065839,0.108170680980688,0.0771906414001085
"RPL39",4,19.0375,0.759130614174868,3.02444898562807,0.0749914912968918,0.0987860190283634
"YBR028C",3,28.7583333333333,0.901221845221089,1.13367029304526,0.125804746133052,0.139593538261592
"ETR1",2,27.375,0.962739512925309,0.601040764008566,0.00699259114780314,0.00726322235030737
"YPR011C",2,29.15,1.0473584376119,0.636396103067894,0.038958655414211,0.0371970607340896
"ALG8",2,27.4625,0.956370901929833,4.18960767853029,0.0388356469685072,0.0406073071547261
"PMT7",2,32.55,1.15346247898278,2.61629509039023,0.125037377221223,0.108401772488942
"MNN10",2,18.707145,0.725280723083697,19.5262517166519,0.785297795021553,1.08275012698901
"MRPL17",2,28.8375,1.28413119579032,1.85615530061469,0.0917288513220659,0.0714326165603441
"MRPL16",2,25.7125,1.03822899689499,7.6897862454037,0.0455627627359663,0.0438850801434267
"SKN7",4,26.08125,0.999850414060799,2.40679376972769,0.198191456864477,0.19822110795508
"OPI3",1,30.65,1.1045045045045,NA,NA,NA
"MEF2",3,27.46111,1.16734606012982,9.59329139536061,0.333920832133968,0.286051277799175
"HIR2",1,37.45,1.22185970636215,NA,NA,NA
"RPP2A",1,33.1,1.34279918864097,NA,NA,NA
"RTT109",2,9.95,0.377826217571366,0.707106781186548,0.0544591634641052,0.144138127349033
"RPS1A",2,31.575,1.14414106449279,10.7126677349762,0.378327242987256,0.330664858318824
"RIM15",4,25.2625,1.02518599816702,3.59197601142695,0.148732294488968,0.145078351396619
"GLK1",3,27.9833333333333,1.07041395468042,1.50443787951957,0.0425377530934197,0.0397395352586931
"MRPL33",3,27.9166666666667,1.19511785102414,9.20194725769135,0.365027580573981,0.305432288758113
"RPL43B",2,34.425,1.3850832093227,2.51022907321225,0.0159370096240057,0.0115061748758032
"TOS8",1,34.325,1.37025948103792,NA,NA,NA
"RED1",1,29.25,1.08938547486034,NA,NA,NA
"NRK1",1,34.35,1.27932960893855,NA,NA,NA
"DBF20",1,33.2,1.1710758377425,NA,NA,NA
"RGS2",1,28.5,1.09615384615385,NA,NA,NA
"YCF1",1,32.35,1.03935742971888,NA,NA,NA
"YKL105C",1,34.2,1.23132313231323,NA,NA,NA
"TLG2",2,30.5375,1.15601306208243,2.10364267402998,0.110437328898627,0.0955329420756603
"INP54",2,31.525,1.15190396590679,1.23743686707646,0.0206654583821856,0.0179402615094892
"RPL4A",1,28.2,1.25333333333333,NA,NA,NA
"KIP3",3,28.45,1.02993435636545,5.62338865809576,0.128890930146545,0.125144801073915
"KIP2",3,31.2666666666667,1.11800760882033,8.70062258308756,0.124316116967947,0.11119433891789
"MAP2",3,32.6083333333333,1.24956390960334,1.0447288324409,0.130951711069048,0.104797929951912
"TMA19",2,33.4,1.25033492822967,5.65685424949238,0.256317749965038,0.204999271937444
"RPS26B",3,28.1583333333333,0.952545525367611,5.12959143922139,0.219090573615324,0.230005356994115
"YBR266C",3,35.9166666666667,1.36338550061895,2.80728219695373,0.118022907453495,0.0865660573622904
"STB2",2,29.025,1.18853087599316,6.68215908221287,0.275299078579983,0.231629723838632
"YEA6",2,26.475,1.03159535967385,0.388908729652602,0.182327833831654,0.176743557560494
"ZTA1",1,30.8,1.28735632183908,NA,NA,NA
"HST3",3,17.0166666666667,0.651329897720271,1.50111069989303,0.037965286855598,0.0582888747906104
"RPL23B",3,32.6083333333333,1.11012466906776,1.7734735220277,0.0477133304856662,0.042980155125941
"VPS34",3,7.55,0.299140869530022,1.4396180048888,0.0449351403279521,0.150213979114754
"TKL1",1,28.85,1.15169660678643,NA,NA,NA
"LYS9",2,28.366665,1.17721601075504,3.0641270281191,0.0480032870276552,0.0407769573205746
"PFK1",3,29.0681633333333,1.1890385797945,7.20209632468445,0.229747422412401,0.19322116735027
"MRP20",1,29.85,0.80349932705249,NA,NA,NA
"SAN1",2,19.975,0.771020380928374,1.23743686707646,0.0891530899152471,0.115630004239186
"AEP2",3,29.7333333333333,1.08630005551249,3.22425702035885,0.112766318144721,0.103807707246706
"DNM1",2,25.2,0.931470528944878,1.5556349186104,0.0526397446621788,0.0565125176013957
"RAS1",2,28.4,1.08848668691396,2.47487373415292,0.019643302949383,0.0180464338108489
"GAT1",3,25.2166666666667,0.890280434925197,2.28272497978476,0.173542115781722,0.194929719865521
"RPD3",3,22.7194433333333,0.838946597642791,7.96922987995912,0.300477716424675,0.358160718773918
"PYC2",3,28.65,1.05712398725099,1.46543508897528,0.1226323688302,0.11600566282589
"PYC1",3,29.0666666666667,1.07170819075163,1.551074896107,0.114390044664107,0.106736185886459
"MDL1",1,29.55,0.94408945686901,NA,NA,NA
"FZO1",2,23.85,0.950105027390666,1.83847763108502,0.0203934970946873,0.021464466039818
"PDC6",4,26.91875,1.0121931567129,2.9479777673291,0.13683087387951,0.135182571599149
"ADH2",3,30.0166666666667,1.10456035301388,5.04240352741957,0.112831786509572,0.102150856856035
"PEP4",2,24.7125,1.03137240218407,1.85615530061469,0.111649166171143,0.108253009228006
"PTC6",1,23.275,0.9199604743083,NA,NA,NA
"SNF2",3,30.7833333333333,1.03481045416687,4.20731010662791,0.267385900930342,0.258391186379745
"SUV3",2,34.35,1.32316476118946,0.95459415460184,0.0430747208578938,0.0325543138098475
"KAP120",1,32,1.17001828153565,NA,NA,NA
"RPL9B",3,26.325,1.0175477463206,1.97151591421424,0.166768755868296,0.163892806476476
"CBP6",2,24.6875,0.949705290895222,1.25511453660612,0.0547307807475504,0.057629225900131
"YNL040W",1,30.75,0.827725437415882,NA,NA,NA
"UBP6",4,18.935855,0.641426868325816,0.777204385881431,0.0879923732550114,0.137182237913856
"YME1",3,13.0666666666667,0.543159517289068,3.99885400250288,0.144363849599927,0.26578536323998
"BUD22",3,26.1,1.01452966403514,7.79823698024111,0.348480377715421,0.343489589382131
"RPS0B",1,21.7,0.806691449814126,NA,NA,NA
"RPS27B",4,20.89375,0.759040769518905,1.06504596927394,0.098163243729299,0.129325390244212
"RPS9B",5,22.733078,0.862901724464572,3.53607387355242,0.148306447936827,0.171869453649372
"RPL35A",5,30.005,1.18835768166648,6.82981515123213,0.300039910529365,0.252482830008392
"RPL13B",5,28.872858,1.1321802217983,9.0941304436664,0.41053329881597,0.362604195791286
"COQ2",4,26.275,1.02298294592217,3.31398551596111,0.167237768649921,0.163480505043185
"VPH1",1,27.55,1.45767195767196,NA,NA,NA
"SIR2'",4,29.9125,1.06381513907672,3.34972013756373,0.115894338905579,0.108942178625285
"ALG6",2,26.5625,0.920221122341455,3.44714555828442,0.198142556439808,0.215320591572213
"VPS74",2,28.498075,1.0437492006822,0.492252385723017,0.0333038490697815,0.031907903783796
"KTR6",2,30.6625,1.12217724531828,1.46724657096209,0.00147856522480237,0.0013175861754201
"MET17",2,26.5125,1.13638821912252,5.49775522372541,0.320800883917993,0.282298670929293
"MIG3",4,25.75625,0.876317554280895,7.17827669082211,0.221347200884748,0.252587888720756
"MIG2",5,29.05,1.10138950550584,3.94049489277679,0.0523363071083359,0.0475184363449144
"RRD1",2,33.116665,1.25308936936188,0.872096006440806,0.472858503218515,0.377354173437217
"GPH1",3,23.1833333333333,0.873585845774117,8.38098045179282,0.201075716400568,0.23017281858818
"YPK1",4,22.18125,0.897620308206534,3.2608392963571,0.227489330871425,0.253436033912773
"MET6",3,25.775,1.19880686007709,0.368272996566407,0.226434711742709,0.188883396720092
"RPL8B",1,30.15,1.28943412445712,NA,NA,NA
"RPP1A",3,27.8682533333333,1.00068117872702,8.91681804978846,0.277328640877393,0.277139859100964
"PSP2",1,22.25,1.15885416666667,NA,NA,NA
"SGF11",2,37.05,1.24820931018478,0.459619407771255,0.190961061020238,0.152988012076252
"SPT20",2,6.5589245,0.225912067591164,0.00889893884123243,0.0295448977788823,0.130780520464936
"PCH2",1,30.3,0.972712680577849,NA,NA,NA
"DPB4",1,26.325,1.08668730650155,NA,NA,NA
"YER187W",1,35.7,1.34844192634561,NA,NA,NA
"BAS1",1,40.4,1.45673094431862,NA,NA,NA
"YDR248C",1,31.95,1.07939189189189,NA,NA,NA
"RPS22B",1,28.75,1.15083688858538,NA,NA,NA
"CRC1",1,31.6,1.25,NA,NA,NA
"LIN1",1,37.45,1.47940155540606,NA,NA,NA
"YHR130C",1,34.2,1.46404109589041,NA,NA,NA
"SSF1",1,43.93333,1.7789906319534,NA,NA,NA
"TDH2",2,27.7875,1.18141732318902,0.123743686707646,0.106955416137322,0.0905314439173919
"SEC28",1,33.1,1.27675988428158,NA,NA,NA
"YPC1",2,28.15,1.08692204845825,1.83847763108502,0.0724674180941824,0.0666721391814381
"SDS3",1,35.7,1.36650717703349,NA,NA,NA
"SET6",1,32.75,1.26570048309179,NA,NA,NA
"SAS3",2,29.0125,1.20550396128177,0.618718433538229,0.13394976797022,0.111115162017217
"HSP12",1,27.2,1.03030303030303,NA,NA,NA
"URK1",2,27.725,1.05425749620245,0.24748737341529,0.0398620596654788,0.0378105536921161
"CAN1",2,32.5125,1.24120996143795,0.406586399182262,0.0890459412008465,0.0717412395705284
"YBT1",1,26.85,0.966696669666967,NA,NA,NA
"MBP1",1,34.75,1.14876033057851,NA,NA,NA
"UGP1",3,28.025,0.936127106593267,2.10816863651843,0.0757503465848936,0.0809188688708765
"YJL022W",1,36.65,1.39089184060721,NA,NA,NA
"FUN12",3,30.1166666666667,1.13387404936371,1.12509258878251,0.0460711042519534,0.0406315889121962
"YGL042C",1,31.95,1.29457050243112,NA,NA,NA
"SCH9SUPPRESSOR",4,20.2125,0.784436396996037,7.75750980233563,0.259795865204829,0.331187928300759
"IRC24",2,27.125,1.06257375076428,4.84368145112785,0.0486124380621557,0.0457497072812028
"LOC1",2,37.65,1.4097398421101,4.87903679018718,0.0315594583626735,0.0223867251388989
"SGS1",3,10.9666666666667,0.404683333927772,0.927811043981119,0.0369776205032436,0.0913742113972091
"SSD1",4,26.04375,0.974896422900555,3.10647006262735,0.0899255073925464,0.0922410886738061
"TAL1",2,28.675,1.14615960702671,2.93449314192417,0.115096199496722,0.100418998184116
"RPE1",2,28.025,1.01215086962404,7.7428192539927,0.45986615929733,0.454345466766377
"MIP1",3,27.2,1.30643050061953,2.27541205059655,0.29498951028726,0.225798088874511
"HOT1",1,31.5,0.95963442498096,NA,NA,NA
"COX16",3,32.53205,1.40435913471789,2.00547229038449,0.581294407812488,0.413921477378549
"MCX1",1,26.05,0.959484346224678,NA,NA,NA
"PET494",2,26.375,0.933495478038605,3.92444263558534,0.0302898853786609,0.0324478115762316
"MRPL23",2,29.4875,1.17039184082969,3.05823682863182,0.0378449270001652,0.0323352621574472
"RSM23",2,30.4625,1.20907725506609,3.1643028458098,0.0388985653648751,0.0321721091037718
"MRPS9",2,29.875,1.19994142621236,2.12132034355964,0.246989343886793,0.205834500327586
"RSM25",2,32.5,1.3055414562908,2.36880771697493,0.27113347401039,0.207678946312983
"MRP2",2,31.525,1.2463176183423,5.09116882454314,0.0323549533959965,0.0259604397144213
"MRPL15",2,27.5625,1.10342577503906,0.618718433538229,0.174371552342931,0.15802744170695
"MRPL37",2,27.875,1.10876717018357,2.01525432638166,0.0707812704898361,0.0638378122957208
"NDT80",2,32.9625,1.36773858921162,4.04818632229299,0.16797453619473,0.122811871741918
"IES4",1,29.15,1.22736842105263,NA,NA,NA
"TUM1",1,29.55,1.24421052631579,NA,NA,NA
"DSE3",1,26.8,1.12842105263158,NA,NA,NA
