"gene","eta","epsilon","xc","mean_rela","steepness_rela","skewness_rela","scaling","length","eta_rela","epsilon_rela","xc_rela","scaling_rela","hard_cluster","xc_epsilon_rela"
"ADE6",0.247906767055191,0.141656486158142,0.225064556441647,1.00094812422392,0.701680741308616,1.61032447038062,0.298319258691384,0.298320765361248,0.831007411619471,0.474846214565738,0.754438116867621,0.999994949497189,"epsilon",0.474846214565738
"ADH1",0.432865683747543,0.26037918547653,0.363726451899423,0.980654541448285,0.499606586702287,0.420983555555092,0.500393413297713,0.500767226202266,0.864404979196267,0.519960516288579,0.726338372137215,0.999253519629492,"epsilon",0.519960516288579
"ADH2",0.0920485206647605,0.128262336193689,0.106061254053201,1.1462006844638,1.01158603642189,-0.223009159094345,0.0115860364218856,0.146659048059274,0.627636152578585,0.874561357727143,0.723182479749461,0.0789998065254246,"scaling",0.723182479749461
"ADH3",0.183899408678548,0.0223970892617751,0.0962702120907792,0.937777117521032,0.818558511257825,0.618725351329124,0.181441488742175,0.191814235501352,0.958737020731977,0.116764478940966,0.501892947826078,0.945922956489305,"epsilon",0.116764478940966
"ADH4",0.00820041399158093,0.214560721796157,0.230676777263344,1.18483890472487,0.871975858880994,0.15010326557855,0.128024141119006,0.224845728020675,0.0364712910659654,0.954257497729412,1.02593355583849,0.569386584508442,"eta",0.954257497729412
"ADH5",0.175247362089035,0.126612416967819,0.195370289842279,1.02995900310222,0.769086422642373,0.334710599640779,0.230913577357627,0.232848925432298,0.752622593227253,0.543753494815387,0.83904312411819,0.991688395937075,"epsilon",0.543753494815387
"ADH6",0.175909488194033,0.14672877509122,0.214926998533215,1.04681239048005,0.758103007445854,-0.647757056179534,0.241896992554146,0.24638497297765,0.71396191930094,0.59552647760109,0.87232186255414,0.981784682851129,"epsilon",0.59552647760109
"ADH7",0.20026518286243,0.128749367926171,0.2031185125665,1.01788574441599,0.74714408930798,1.37834719017114,0.25285591069202,0.253487694820094,0.790039070750802,0.507911707578341,0.801295355621338,0.997507633936541,"epsilon",0.507911707578341
"ADR1",0.17197330880881,0.114444081878368,0.0414587328129745,0.834092893509856,0.91027793834406,-0.220632907231706,0.0897220616559399,0.188613934617049,0.911774144142503,0.606763663091643,0.219807369466895,0.475691585768075,"xc",0.219807369466895
"AEP1",0.105473500901481,0.0115236113870554,0.0413934833686542,0.950152062486567,0.905696454483307,0.621799162283437,0.0943035455166928,0.106667593820064,0.988805476191797,0.108032917724706,0.38806053353449,0.88408805466984,"epsilon",0.01
"AEP2",0.0706641608876671,0.133553471724842,0.120514672947199,1.14364567015559,0.987922770268033,-0.0523970153956996,0.012077229731967,0.144152481880987,0.490204261248918,0.92647362003177,0.836022185498662,0.0837809351207567,"scaling",0.836022185498662
"AFG3",0.259377631101161,0.126296939847081,0.212273777900277,0.98072447230849,0.700595642944626,1.20648692196235,0.299404357055374,0.300024190677232,0.864522392396688,0.420955855466175,0.707522208196346,0.997934054515875,"epsilon",0.420955855466175
"AFT2",0.144536977387633,0.125266092972998,0.186408858386774,1.04509649090007,0.795828128070749,-0.809233934966999,0.204171871929251,0.209092914223783,0.69125717590287,0.599092960361781,0.891512077675039,0.9764648060275,"epsilon",0.599092960361781
"AGA1",0.101863800106511,0.0761542709777649,0.126647346334712,1.02469251939079,0.859156732758607,1.20074732110043,0.140843267241393,0.142991420865362,0.712377004788449,0.532579301030027,0.885698915139535,0.984977045399166,"epsilon",0.532579301030027
"AGC1",0.0413857572575057,0.226414392088562,0.224014778942227,1.21447301098065,0.912230441094292,0.706819478033469,0.0877695589057085,0.231737282088166,0.178589119905877,0.977030497848078,0.966675611811994,0.378745957986664,"eta",0.966675611811994
"AGE1",0.0246859491179669,0.157116295827972,0.180546149054134,1.12806360172323,0.885715597139035,-2.35930564843608,0.114284402860965,0.171642683571462,0.143821738301412,0.915368441921135,1.05187209438476,0.665827406580853,"eta",0.915368441921135
"AGP1",0.092561434044489,0.127814427863497,0.080109220394785,0.862247747465122,0.989741141520027,0.455174154452403,0.0102588584799728,0.13813372960919,0.67008567933672,0.925294844532982,0.579939603610436,0.0742675848179678,"scaling",0.579939603610436
"AGP3",0.15711656791145,0.118191221637277,0.182799241212785,1.03250397946788,0.788807708665908,-0.553409281616962,0.211192291334092,0.213678947489434,0.73529268913691,0.553125251813218,0.855485499907868,0.988362652546924,"epsilon",0.553125251813218
"AGX1",0.114887578552658,0.104688584972477,0.0719178692984311,1.13298413434657,1.04732482718888,0.0360997237201484,0.0473248271888831,0.14115388502044,0.813917226125386,0.741662795588786,0.509499751197192,0.335271162972455,"scaling",0.509499751197192
"AHP1",0.25333607102804,0.0271431101287298,0.115086015072687,0.900985869911926,0.759593817606057,2.29438009545005,0.240406182393943,0.259997943242495,0.974377211868013,0.104397403264894,0.442642021076867,0.924646477567403,"epsilon",0.104397403264894
"AHT1",0.292782025717122,0.359904149676499,0.441912338800373,1.16744561602829,0.560160224629053,0.86714181289181,0.439839775370947,0.470634744069602,0.622100321759974,0.764720739834017,0.938970920376884,0.934567158318212,"eta",0.764720739834017
"AIF1",0.0558092871234331,0.190501331215924,0.183192557020632,1.18813903532774,0.943760047585619,-1.95721010105661,0.0562399524143805,0.196365039815199,0.284211930881158,0.97013873444686,0.932918391140483,0.286405118076561,"eta",0.932918391140483
"AIM20",0.260340209574503,0.0156449306773974,0.105094835628037,0.887136296276131,0.760628435806602,5.18260992547421,0.239371564193398,0.264644972298102,0.983733820120525,0.0591166744697292,0.397116312905638,0.904500705661486,"epsilon",0.0591166744697292
"AIM21",0.0786898899145406,0.108136671986438,0.0914777684786687,1.12432757813651,1.00973935308707,0.818407965285448,0.00973935308707441,0.124708466768876,0.630990757511098,0.867115720273019,0.73353294165829,0.0780969675870083,"scaling",0.73353294165829
"AIM22",0.0198063605735844,0.0230267340312507,0.0174196304222081,0.992429585746892,1.0301104490555,-0.772681748567818,0.0301104490555015,0.0310475492476881,0.637936360631081,0.741660278804948,0.561062977410535,0.969817257242733,"xc",0.561062977410535
"AIM25",0.0394798488977723,0.068953677524636,0.0684246558701364,1.07712474985544,0.993931124203635,1.9070854403843,0.00606887579636528,0.0773631585038714,0.510318472788267,0.891298634364642,0.884460474383453,0.078446587674695,"scaling",0.884460474383453
"AIM29",0.0805580952654703,0.0888888944116642,0.0711045321793007,1.10832477514867,1.02247960016444,0.721589343451626,0.0224796001644396,0.110632677516921,0.728158235645602,0.803459668578198,0.642708228483626,0.203191323476749,"scaling",0.642708228483626
"AIM32",0.0556303717718143,0.264781743032116,0.294852005693641,1.20895236529128,0.804949575148188,-0.982254997114103,0.195050424851812,0.285842192819205,0.194619175087985,0.926321409798274,1.03152023424385,0.682371006631557,"eta",0.926321409798274
"AIM44",0.000239076470386883,0.228305349565868,0.241159585732269,1.2001430287322,0.872665059375829,-0.98678395907696,0.127334940624171,0.237215975545197,0.00100784304192587,0.962436653101252,1.01662455565233,0.536789060397452,"eta",0.962436653101252
"AIM45",0.097793601358508,0.271103589128985,0.245440903295716,1.27403959377817,0.94408361132144,0.0386530515027442,0.0559163886785604,0.279686148174975,0.349654789830089,0.969313607048496,0.877558309187931,0.199925484488343,"scaling",0.877558309187931
"AIM9",0.0545085026542285,0.240864261659129,0.27156945038766,1.18833420858634,0.817216747080267,0.174447115071147,0.182783252919733,0.262449026806657,0.207691769016862,0.917756352880554,1.03475121890134,0.696452393608556,"eta",0.917756352880554
"AKL1",0.0294526453340602,0.108422103225888,0.112215457441446,1.10729928239368,0.962146403275728,-0.502338272903388,0.0378535967242724,0.113780625710896,0.258854661327809,0.952904789795904,0.986243982579013,0.332689300025948,"eta",0.952904789795904
"AKR1",0.613755230794461,0.0128732451350587,0.102209455730023,0.596519514423422,0.535233551032102,0.797892092534309,0.464766448967898,0.615470839542655,0.997212526348985,0.020916092701686,0.166067097193383,0.755139673738657,"epsilon",0.01
"ALB1",0.0409030874840973,0.36343588341379,0.356229061101006,1.33675385900997,0.848999898389604,0.227175648000978,0.151000101610396,0.369058521435902,0.110830898376103,0.984764914788484,0.965237327985329,0.40914947857835,"eta",0.965237327985329
"ALD5",0.152343714819671,0.165121160998843,0.226865849511158,1.07521693626769,0.768656225669537,2.80215228014955,0.231343774330463,0.243264320077898,0.626247674837342,0.67877262455081,0.932589906479137,0.950997557950058,"eta",0.67877262455081
"ALD6",0.155950085106173,0.166616859105023,0.247663828046393,0.912779418386082,1.27970933431697,0.626838780235395,0.279709334316968,0.29299273294932,0.532266051571826,0.568672326538023,0.845290002770248,0.954663044033077,"eta",0.568672326538023
"ALE1",0.4354323210475,0.174166653514543,0.279861294820739,0.901373006789647,0.542753099245866,3.44527727057772,0.457246900754134,0.467762773250476,0.930882802027378,0.372339706095597,0.598297493569204,0.977518791366686,"epsilon",0.372339706095597
